ID,Genero,Idade,Escolaridade,Ocupacao,Interesse _no_curso,experiencia_pecuaria,tempo_trabalha_pecuaria,familiarizado_com_Inseminacao,inseminou,simulador,Gps,questao_1,questao_2,questao_3,questao_4,questao_5,questao_6,questao_7,questao_8,questao_9,questao_10,questao_11,questao_12,questao_13,questao_14,questao_15,questao_16,questao_17,questao_18,questao_19,questao_20,questao_21,questao_22,,questao_24,questao_25,questao_26,questao_27,questao_28,questao_29,questao_30,questao_31,questao_32,questao_33,questao_34,questao_35,questao_36,questao_37,questao_38,questao_39,questao_40,questao_41,questao_42,questao_43,questao_44,questao_45,questao_46,questao_47,questao_48,questao_49,questao_50,questao_51,questao_52,questao_53,questao_54,questao_55
A50,2,23,Ensino_médio_incompleto ,Assistente_administrativo,uso_proprio ,0,NA,0,0,Com_simulador,Gp_2,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,teve_alguma_dificuldade,dificuldade_identica,NG,NG,NG,NG,NG,,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,manequim,manequim,P,NG,NG,NG,P,sem_opnião,NG,P,P,NG,NT,NT,NT,NT,5,5,5,1,4
A51,2,23,Ensino_medio_completo,Autônomo,uso_proprio ,0,NA,0,0,Com_simulador,Gp_1,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,dificuldade_identica,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,NG,P,P,NG,manequim,P,P,P,P,P,P,P,P,4,4,4,1,4
A52,1,17,Ensino_médio_incompleto ,Estudante,aprender,1,8,1,0,Com_simulador,Gp_2,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,teve_alguma_dificuldade,dificuldade_identica,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,peças,manequim,NT,P,NG,P,P,manequim,P,P,P,P,P,P,P,P,4,4,4,1,2
A53,1,18,Ensino_médio_incompleto ,Estudante,aprender,1,4,0,0,Com_simulador,Gp_1,P,P,P,P,P,P,P,P,P,P,P,P,NT,P,P,achou_facil_identificar_estruturas,mais_dificil_que_peça,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,P,P,P,P,manequim,P,P,P,P,P,P,P,P,5,5,5,1,4
A54,1,37,Ensino_médio_incompleto ,Vaqueiro ,aprender,0,20,1,0,Com_simulador,Gp_2,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,teve_alguma_dificuldade,mais_dificil_que_peça,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,NG,P,P,P,manequim,P,P,P,P,P,P,P,P,4,4,4,1,4
A55,1,31,Ensino_Superior_Incompleto,Assistente_administrativo,aprender,1,2,0,0,Com_simulador,Gp_2,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,mais_dificil_que_peça,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,P,P,P,P,manequim,P,P,P,P,P,P,P,P,4,4,4,1,4
A56,1,18,Ensino_médio_incompleto ,Produtor_rural,aprender,1,10,0,0,Com_simulador,Gp_1,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,teve_alguma_dificuldade,mais_dificil_que_peça,P,P,P,P,P,,P,P,NT,NT,NT,P,P,P,P,P,P,manequim,manequim,P,P,P,P,P,manequim,P,P,P,P,P,P,P,P,5,4,5,1,4
A57,1,20,Ensino_medio_completo,Desempregado,aperfeicoar,1,10,1,0,Com_simulador,Gp_1,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,mais_dificil_que_peça,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,P,P,P,P,manequim,P,P,P,P,P,P,P,P,5,5,5,1,5
A58,1,19,Ensino_medio_completo,Empresário,aprender,1,1,0,0,Com_simulador,Gp_2,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,teve_alguma_dificuldade,mais_dificil_que_peça,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,NT,NT,P,NG,manequim,P,P,P,P,P,P,P,P,5,5,5,1,4
A59,1,18,Ensino_medio_completo,Desempregado,aprender,0,NA,1,0,Com_simulador,Gp_1,P,P,P,NG,P,P,P,NG,NT,P,P,P,NG,P,NT,teve_alguma_dificuldade,mais_dificil_que_peça,P,P,P,P,P,,NG,NT,NG,P,NT,NT,NT,NG,NG,NT,P,manequim,peças,P,NG,NG,NT,NT,manequim,P,P,P,P,NG,NG,NG,NG,4,4,5,1,2
