TRAT	DAP	REP	Umidade	Condutividade	Altura	Caule	Folhas	Flor.m	Flor.f	Frutos	Bojo	Pesc	Comp.frutos	Peso.frutos				
PPRETO	20	3	12.9	389	9.30	7.40	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	3	12.9	380	14.30	7.80	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	3	12.7	366	9.00	5.90	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	3	12.5	362	14.00	8.50	5	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	3	13.4	390	8.00	7.30	5	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	3	13.6	394	12.90	7.40	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	3	13.9	399	10.30	6.60	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	4	12.8	378	14.00	7.74	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	4	12.4	370	16.50	8.20	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	4	13.9	399	10.00	7.40	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	4	13.8	397	10.00	6.00	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	4	13.6	393	9.50	7.40	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	4	13.4	390	7.50	6.80	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	4	13.9	399	12.50	7.40	3	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	4	13.3	388	10.90	6.60	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	4	15.1	424	9.80	7.74	5	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	4	14.9	420	8.30	8.40	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	1	12.2	366	16.20	7.58	3	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	1	12.9	380	7.20	4.50	3	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	1	13.8	398	8.30	6.40	3	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	1	13.3	388	9.30	9.26	3	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	1	12.9	380	9.30	6.80	5	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	1	13.4	390	8.70	8.20	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	1	13.4	390	8.70	5.20	2	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	1	13.8	398	11.50	9.28	3	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	1	13.2	384	6.30	3.76	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	1	13.2	386	4.20	3.42	2	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	2	13.7	396	11.30	9.59	6	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	2	12.9	380	9.00	5.75	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	2	12.3	367	5.70	3.89	3	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	2	11.6	354	8.30	5.21	5	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	2	13.0	382	4.50	2.05	3	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	2	12.9	380	5.00	4.01	2	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	2	12.7	375	8.30	6.61	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	2	13.3	387	6.30	4.39	3	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	2	12.0	362	7.30	5.48	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	2	12.0	361	4.80	5.45	3	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	3	13.6	396	9.70	6.83	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	3	13.1	384	18.00	7.77	5	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	3	12.6	363	11.50	7.03	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	3	11.9	360	9.50	6.61	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	3	12.1	363	8.00	5.65	3	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	3	12.6	363	9.50	6.60	3	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	3	12.0	362	11.00	8.82	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	3	12.0	360	12.20	7.84	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	3	12.9	380	12.50	8.98	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	3	12.6	364	15.00	8.29	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	4	13.2	386	12.30	7.35	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	4	13.1	384	20.50	9.05	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	4	11.6	354	10.00	5.55	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	4	12.0	362	11.50	9.10	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	4	12.4	369	12.00	8.66	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	4	12.9	380	11.50	8.57	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	4	12.7	365	12.80	7.34	4	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	4	13.1	384	11.00	6.22	3	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	4	13.0	382	10.50	7.05	3	NA	NA	NA	NA	NA	NA	NA				
TANZ	20	4	13.3	387	12.80	7.55	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	1	12.4	370	17.30	8.04	6	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	1	12.4	370	28.50	6.18	7	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	1	11.7	356	11.80	5.83	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	1	12.5	362	88.20	10.53	10	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	1	13.3	368	65.80	9.94	9	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	1	13.5	392	63.20	4.07	9	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	1	14.3	408	17.80	6.47	7	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	1	13.2	386	34.10	6.77	8	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	1	13.1	386	71.40	8.51	7	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	1	12.7	385	56.70	7.47	8	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	2	12.0	362	67.30	8.80	7	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	2	11.2	345	61.40	7.80	10	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	2	13.2	385	34.30	9.30	8	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	2	12.7	375	82.70	9.30	12	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	2	12.9	379	26.10	6.70	6	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	2	12.9	379	20.50	7.92	6	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	2	13.3	387	81.30	11.00	10	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	2	12.9	379	58.20	9.17	8	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	2	12.7	375	27.00	10.04	10	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	2	12.7	375	63.20	8.68	10	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	3	12.5	362	56.50	8.88	9	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	3	12.1	364	63.50	8.88	9	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	3	12.9	379	35.30	8.80	8	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	3	12.7	365	26.00	7.60	6	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	3	14.4	409	24.00	9.08	7	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	3	13.5	392	58.50	10.00	9	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	3	13.3	388	47.40	9.34	8	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	3	12.7	365	53.40	10.13	9	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	3	12.0	352	35.20	8.25	7	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	3	13.0	381	17.50	5.43	4	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	4	14.1	430	60.50	10.30	9	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	4	13.4	390	35.00	9.30	8	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	4	12.9	380	80.00	9.50	9	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	4	13.0	382	42.00	10.90	10	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	4	14.2	406	88.00	9.60	10	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	4	13.7	363	61.50	9.40	9	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	4	13.8	398	30.00	7.80	7	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	4	13.8	398	63.50	9.80	8	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	4	13.5	391	22.50	7.20	5	NA	NA	NA	NA	NA	NA	NA				
CAPI	28	4	13.0	381	37.00	10.07	6	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	1	12.6	364	43.40	8.00	6	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	1	12.0	360	22.30	6.20	7	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	1	13.0	382	14.90	5.80	3	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	1	12.4	369	32.20	10.50	7	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	1	12.1	363	34.00	9.00	6	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	1	12.3	368	42.00	4.00	7	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	1	11.8	357	35.50	6.00	7	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	1	12.3	368	36.20	4.20	7	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	1	11.9	360	38.20	7.20	7	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	1	12.6	364	16.50	7.60	4	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	2	11.2	345	32.40	7.00	8	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	2	11.5	351	12.60	5.60	4	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	2	12.9	380	19.60	6.10	6	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	2	12.7	376	27.80	7.50	7	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	2	11.7	356	24.60	7.60	7	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	2	12.5	362	43.40	8.50	8	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	2	11.5	351	11.50	6.00	4	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	2	11.8	358	10.70	4.90	4	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	2	11.7	355	16.70	5.00	5	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	2	12.7	365	10.30	6.00	3	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	3	11.5	351	28.00	8.10	6	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	3	11.8	358	19.50	7.50	5	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	3	11.7	355	56.00	6.40	8	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	3	12.6	364	58.00	6.70	8	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	3	12.0	360	44.00	9.60	7	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	3	13.0	382	40.50	9.60	8	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	3	11.8	351	32.00	6.50	12	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	3	12.3	368	28.50	8.20	8	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	3	12.6	364	32.80	9.30	6	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	3	12.9	380	59.70	7.60	8	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	4	11.5	351	21.20	7.30	5	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	4	11.8	358	71.00	9.40	9	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	4	11.7	355	70.70	8.00	8	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	4	12.7	365	25.50	10.10	7	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	4	12.9	380	57.30	8.40	7	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	4	12.5	352	34.60	8.50	7	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	4	12.4	380	71.00	9.50	7	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	4	12.9	370	45.00	8.50	7	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	4	11.5	351	62.40	8.80	7	NA	NA	NA	NA	NA	NA	NA				
CONTROL	28	4	11.8	358	33.50	8.60	6	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	28	1	12.3	367	52.80	10.30	11	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	28	1	12.9	380	85.70	10.00	11	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	28	1	12.1	363	61.80	8.80	10	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	28	1	16.0	441	28.20	10.00	6	NA	NA	NA	NA	NA	NA	NA				
