aluno,exito,tempo,grupo,curso,tentativa,exito_tentativa,vez_exito
a34,0,03:00,GP_C,4,7,0,6
a34,0,03:00,GP_C,4,8,1,6
a34,0,03:00,GP_C,4,9,0,6
a34,0,03:00,GP_C,4,10,0,6
a34,0,03:00,GP_C,4,11,0,6
a34,0,03:00,GP_C,4,12,0,6
a34,0,03:00,GP_C,4,13,0,6
a34,0,03:00,GP_C,4,14,0,6
a34,0,03:00,GP_C,4,15,1,6
a34,0,03:00,GP_C,4,16,0,6
a34,0,03:00,GP_C,4,17,1,6
a34,0,03:00,GP_C,4,18,0,6
a34,0,03:00,GP_C,4,19,1,6
a34,0,03:00,GP_C,4,20,1,6
a34,0,03:00,GP_C,4,21,0,6
a34,0,03:00,GP_C,4,22,1,6
a34,0,03:00,GP_C,4,23,NA,6
a34,0,03:00,GP_C,4,24,NA,6
a35,1,01:04,GP_C,4,1,1,1
a35,1,01:04,GP_C,4,2,0,1
a35,1,01:04,GP_C,4,3,0,1
a35,1,01:04,GP_C,4,4,0,1
a35,1,01:04,GP_C,4,5,0,1
a35,1,01:04,GP_C,4,6,0,1
a35,1,01:04,GP_C,4,7,1,1
a35,1,01:04,GP_C,4,8,1,1
a35,1,01:04,GP_C,4,9,0,1
a35,1,01:04,GP_C,4,10,0,1
a35,1,01:04,GP_C,4,11,0,1
a35,1,01:04,GP_C,4,12,1,1
a35,1,01:04,GP_C,4,13,0,1
a35,1,01:04,GP_C,4,14,1,1
a35,1,01:04,GP_C,4,15,1,1
a35,1,01:04,GP_C,4,16,1,1
a35,1,01:04,GP_C,4,17,1,1
a35,1,01:04,GP_C,4,18,1,1
a35,1,01:04,GP_C,4,19,1,1
a35,1,01:04,GP_C,4,20,1,1
a35,1,01:04,GP_C,4,21,1,1
a35,1,01:04,GP_C,4,22,1,1
a35,1,01:04,GP_C,4,23,NA,1
a35,1,01:04,GP_C,4,24,NA,1
a36,1,00:31,GP_2,5,1,0,3
a36,1,00:31,GP_2,5,2,0,3
a36,1,00:31,GP_2,5,3,1,3
a36,1,00:31,GP_2,5,4,0,3
a36,1,00:31,GP_2,5,5,1,3
a36,1,00:31,GP_2,5,6,1,3
a36,1,00:31,GP_2,5,7,1,3
a36,1,00:31,GP_2,5,8,1,3
a36,1,00:31,GP_2,5,9,1,3
a36,1,00:31,GP_2,5,10,0,3
a36,1,00:31,GP_2,5,11,1,3
a36,1,00:31,GP_2,5,12,0,3
a36,1,00:31,GP_2,5,13,0,3
a36,1,00:31,GP_2,5,14,1,3
a36,1,00:31,GP_2,5,15,0,3
a36,1,00:31,GP_2,5,16,NA,3
a36,1,00:31,GP_2,5,17,NA,3
a36,1,00:31,GP_2,5,18,NA,3
a36,1,00:31,GP_2,5,19,NA,3
a36,1,00:31,GP_2,5,20,NA,3
a36,1,00:31,GP_2,5,21,NA,3
a36,1,00:31,GP_2,5,22,NA,3
a36,1,00:31,GP_2,5,23,NA,3
a36,1,00:31,GP_2,5,24,NA,3
a37,1,01:16,GP_2,5,1,0,4
a37,1,01:16,GP_2,5,2,0,4
a37,1,01:16,GP_2,5,3,0,4
a37,1,01:16,GP_2,5,4,1,4
a37,1,01:16,GP_2,5,5,1,4
a37,1,01:16,GP_2,5,6,0,4
a37,1,01:16,GP_2,5,7,1,4
a37,1,01:16,GP_2,5,8,0,4
a37,1,01:16,GP_2,5,9,1,4
a37,1,01:16,GP_2,5,10,0,4
a37,1,01:16,GP_2,5,11,0,4
a37,1,01:16,GP_2,5,12,1,4
a37,1,01:16,GP_2,5,13,0,4
a37,1,01:16,GP_2,5,14,1,4
a37,1,01:16,GP_2,5,15,0,4
a37,1,01:16,GP_2,5,16,NA,4
a37,1,01:16,GP_2,5,17,NA,4
a37,1,01:16,GP_2,5,18,NA,4
a37,1,01:16,GP_2,5,19,NA,4
a37,1,01:16,GP_2,5,20,NA,4
a37,1,01:16,GP_2,5,21,NA,4
a37,1,01:16,GP_2,5,22,NA,4
