classe,x,y,cive,exg,exgr,exr,gli,iaf,ngrdi,ri,tgi,varig,vdvi,r,g,b
1,4.994.367.655,7.655.682.373,0.565205415,0.435611456,0.54809189,0.464065033,0.460974864,0.848424598,0.428954804,0.571045195,0.722895378,0.411394769,0.737819551,0.5012514,0.430486032,0.397666347
2,4.994.374.471,7655682.01,0.516308515,0.476278003,0.472805744,0.440135884,0.5424938,0.863485906,0.439830745,0.560169254,0.782221565,0.435394295,0.74062301,0.438614524,0.385949771,0.364272917
2,4.994.379.065,7.655.681.804,0.545852982,0.449525005,0.503203594,0.499434369,0.503208235,0.858479032,0.433886918,0.566113081,0.744419085,0.422322743,0.735837696,0.458282165,0.393519413,0.371106792
2,4.994.387.363,7.655.681.488,0.621246865,0.374842809,0.536176411,0.47725053,0.427037308,0.877420291,0.410427837,0.58957216,0.722807467,0.375938756,0.707669453,0.449961449,0.34681606,0.337565293
1,4.994.395.068,7.655.681.457,0.495269377,0.490686221,0.418758566,0.457984621,0.585590125,0.885846369,0.441116889,0.558883109,0.81319647,0.43983382,0.730795349,0.380045451,0.328788084,0.317408615
2,4.994.400.995,7.655.681.172,0.49688446,0.486805756,0.404151985,0.467781582,0.604407194,0.880537632,0.445604908,0.55439509,0.826311647,0.4502047,0.728686487,0.370624137,0.325204942,0.325349035
2,4.994.405.441,7.655.680.872,0.547104406,0.438678927,0.437391827,0.528564264,0.547918583,0.882047293,0.428041294,0.571958705,0.810242843,0.415007694,0.711025786,0.380168352,0.311330568,0.316603099
1,4.994.411.812,7.655.680.667,0.592922703,0.40110142,0.51166908,0.590824532,0.470820748,0.865097716,0.419861927,0.580138072,0.759043109,0.394859829,0.717016855,0.444824619,0.360563907,0.354735427
2,4.994.415.369,7.655.680.588,0.598570201,0.39616149,0.518916447,0.602782807,0.46757296,0.858715773,0.421193037,0.578806963,0.757745578,0.397388051,0.718887114,0.454934251,0.372406419,0.368454938
1,4.994.428.409,7655680.13,0.353548454,0.645813409,0.456917535,0.60736903,0.621124375,0.855163511,0.464934558,0.535065442,0.751307701,0.481558498,0.791111724,0.479452469,0.476653525,0.380086497
1,4.994.437.744,7.655.679.687,0.197393286,0.782421546,0.262916383,0.585799318,0.846919008,0.891860648,0.512989331,0.487010668,0.870388262,0.577986341,0.825278142,0.331822726,0.387400978,0.305995293
1,4.994.447.672,7.655.679.577,0.218903833,0.761288734,0.273269055,0.597662849,0.818681084,0.896561897,0.512529276,0.487470723,0.851218902,0.5746959,0.821729552,0.325372423,0.365630383,0.284682042
2,4.994.454.785,7655679.15,0.250868196,0.728504326,0.27951817,0.590562975,0.792213953,0.905887062,0.502523725,0.497476273,0.850549452,0.555498035,0.811420922,0.313133409,0.337034956,0.265074905
2,4.994.466.046,7.655.678.771,0.420170653,0.572969099,0.43980691,0.571180374,0.610048721,0.862417497,0.458478844,0.541521155,0.78531836,0.470102128,0.771108945,0.439137997,0.418238819,0.364425779
2,4.994.473.455,7.655.678.423,0.299482129,0.68903442,0.36230467,0.616528391,0.73451018,0.861774613,0.487710768,0.512289231,0.823299305,0.528364495,0.801695688,0.410436363,0.438647431,0.366727334
1,4.994.480.123,7.655.678.171,0.227640898,0.749749229,0.257884063,0.610726634,0.839300523,0.890556224,0.509515205,0.490484794,0.875913749,0.572993639,0.813473012,0.316167871,0.363187447,0.29974277
2,4.994.485.754,7.655.677.902,0.346162479,0.631676466,0.306327678,0.590321666,0.749526832,0.889864246,0.482984072,0.517015927,0.871269218,0.52242722,0.775777223,0.323650563,0.331065404,0.303470431
1,4.994.493.899,7655677.72,0.364384823,0.615626193,0.32813725,0.575123875,0.722020079,0.891341125,0.474170825,0.525829174,0.864524028,0.505682838,0.768223718,0.338384251,0.337649576,0.307777112
2,4.994.501.753,7.655.677.483,0.392363882,0.584240801,0.31529785,0.605740112,0.717328336,0.898812,0.470092794,0.529907205,0.870131989,0.498921827,0.752574742,0.311360507,0.299792862,0.288282521
1,4.994.509.458,7.655.677.167,0.370796145,0.606474957,0.311383351,0.619392069,0.724353735,0.903607931,0.470660847,0.529339152,0.874234203,0.499479187,0.760461308,0.310466728,0.301853063,0.27882562
2,4.994.517.015,7655676.93,0.379468398,0.599450901,0.326251639,0.670116514,0.713585801,0.894667369,0.4732463,0.526753699,0.854173971,0.50386453,0.761735261,0.32759705,0.319463416,0.296208358
1,4.994.530.944,7.655.676.472,0.395603582,0.585309076,0.346375651,0.61446148,0.696010633,0.885499031,0.469561909,0.530438089,0.844662866,0.495904254,0.757785151,0.348113552,0.338356037,0.316399191
2,4.994.543.836,7.655.675.887,0.557935802,0.444818742,0.558694144,0.58771688,0.45696891,0.838825615,0.430148518,0.569851481,0.695401724,0.413961667,0.739277785,0.516711824,0.449053004,0.408399199
1,4.994.551.837,7.655.675.555,0.684194796,0.322187208,0.633082989,0.523546566,0.368577224,0.796009093,0.419287949,0.580712049,0.664744529,0.391879184,0.722068805,0.571844958,0.480545417,0.480078009
2,4.994.574.509,7.655.674.734,0.499480263,0.494186078,0.47418901,0.595501236,0.557613056,0.853397834,0.445332314,0.554667686,0.796101138,0.446279681,0.750073091,0.454444961,0.41395182,0.387791584
1,4.994.581.621,7.655.674.512,0.502587343,0.488406097,0.456834059,0.581404319,0.566388945,0.862481615,0.444488655,0.555511345,0.804061628,0.445356333,0.744164666,0.431170575,0.387323971,0.3689243
2,4.994.590.512,7655674.26,0.423139538,0.565075618,0.407054682,0.533146326,0.634229862,0.874293665,0.458811372,0.541188628,0.819778432,0.473426515,0.761114953,0.401989536,0.380532637,0.343119708
1,4.994.600.885,7.655.673.912,0.475078151,0.512615806,0.423522348,0.503961241,0.602590954,0.868893017,0.449616326,0.550383673,0.816417612,0.457216576,0.744157447,0.403594068,0.367874218,0.350338918
2,4.994.608.886,7.655.673.612,0.44597769,0.534620734,0.363143037,0.546970567,0.653069915,0.893618185,0.453488105,0.546511894,0.852118965,0.466720799,0.739258476,0.340180255,0.307750924,0.298902055
2,4.994.616.253,7.655.673.369,0.510836371,0.4717565,0.401551918,0.526585155,0.591681153,0.895043605,0.436957727,0.563042271,0.844946588,0.434056202,0.722616509,0.354656046,0.298102868,0.301929066
2,4.994.626.625,7.655.673.032,0.416972366,0.570564932,0.400216816,0.587672273,0.646443161,0.871625052,0.460834661,0.539165339,0.82244966,0.478004683,0.761617158,0.400574637,0.384402436,0.349178982
1,4.994.635.318,7.655.672.769,0.581722916,0.416428956,0.536985205,0.591244267,0.482804069,0.822677986,0.434148147,0.565851853,0.744621705,0.42396957,0.733755705,0.500817533,0.44022411,0.430723307
1,4.994.649.642,7.655.672.327,0.41647093,0.561677156,0.335347979,0.580106295,0.695729239,0.892708023,0.466540107,0.533459891,0.868542351,0.491567294,0.750355188,0.328156582,0.311866093,0.305271825
2,4.994.661.793,7.655.671.874,0.405029905,0.581736861,0.390091881,0.560963133,0.653835128,0.875882661,0.461493603,0.538506396,0.81987666,0.479974982,0.758041566,0.389028268,0.372630506,0.333370257
