"","simulation","distance","radius","error","tpvalue","sensitivity","specificity","accuracy","model","sill","range","sderror","stand"
"19820",87,40,20,-0.1571195,0.0005063332,1,1,1,7,0.2252475,20.72734,0.0002899538,"stand3"
"19821",87,45,10,0.700491,3.755918e-72,1,1,1,4,0.1859065,18.40888,5.028204e-05,"stand3"
"19822",87,45,12.5,0.2340426,7.116475e-08,1,1,1,7,0.1854997,18.09169,0.000332453,"stand3"
"19823",87,45,15,0.2504092,7.477514e-09,1,1,1,3,0.1995773,42.3695,0.000662132,"stand3"
"19824",87,45,17.5,0.3404255,1.449517e-15,1,1,1,3,0.1871473,37.56218,0.0003965101,"stand3"
"19825",87,45,20,-0.04746318,0.2901023,1,1,1,7,0.2318453,19.24614,0.00123499,"stand3"
"19826",87,50,10,0.04418985,0.3206844,1,1,1,3,0.1711561,70.13452,2.866633e-05,"stand3"
"19827",87,50,12.5,0.106383,0.01608254,1,1,1,7,0.2505734,84.29708,0.0005543101,"stand3"
"19828",87,50,15,0.09819967,0.02643533,1,1,1,7,0.1979512,16.34509,0.000390568,"stand3"
"19829",87,50,17.5,0.2847791,3.831359e-11,1,1,1,4,0.1640265,11.34785,0.0002433847,"stand3"
"19830",87,50,20,0.2913257,1.287849e-11,1,1,1,3,0.2162725,36.81552,0.001480964,"stand3"
"19831",87,55,10,0.4026187,1.22149e-21,1,1,1,7,0.248302,17.48992,6.207095e-05,"stand3"
"19832",87,55,12.5,0.5777414,2.235708e-46,1,1,1,7,0.2114043,17.16123,0.0001229682,"stand3"
"19833",87,55,15,0.1734861,7.526406e-05,1,1,1,3,0.07706204,80.42773,0.0001040648,"stand3"
"19834",87,55,17.5,0.01963993,0.6597238,1,1,1,4,0.2399178,12.82519,0.0002704845,"stand3"
"19835",87,55,20,0.2144026,8.593803e-07,1,1,1,7,0.1660911,12.42807,0.0002645228,"stand3"
"19836",87,60,10,0.4173486,2.883771e-23,1,1,1,4,0.1351142,87.53123,0.0001464966,"stand3"
"19837",87,60,12.5,0.2225859,3.129367e-07,1,1,1,7,0.196066,39.88505,0.0001884492,"stand3"
