"STAND","COMPANY","SPACING","SPECIES","AGE","STATS","NDVI"
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",-0.0124908155767818
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",3,"MAX",0.543767736302117
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",3,"MEAN",0.860451110487271
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",3,"SD",0.0617127256249361
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",3,"MIN",0.301690507152146
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",3,"MAX",0.935356942102305
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",0.839394085946109
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",0.0642550490020933
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",0.294906166219839
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",0.924022957092102
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",0.819784539389602
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",0.0626437816195872
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",0.309334960341672
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",0.903814262023217
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",0.818374161847726
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",0.0697545902512156
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",0.257731958762887
